Master ID:ubyte,Master Name:string,Channel Number:ubyte,Module:string,Data Message:string,Data:ulong,Domain:string,Class:string,Type:string,Data Size:ubyte,Address:uinteger,Delta Cycles:ulong,Cycle:integer,Trace Status:string,Receiver Status:string,Local Delta Timestamp:ulong,Local Timestamp:integer,Overflow Count:ubyte,Trace Position Data,Program Address:uinteger,Load Address:uinteger,
,,,,,,,,,,,,,Start of trace,,,,,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,stop,2,iCONT1,task1,Event,,,276,14327,,,552,1453787,,0x5e 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,stop,8,iCONT1,task4,Event,,,30,14357,,,61,1454339,,0x5f 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,1,iCONT1,task1,Event,,,1,14358,,,2,1454400,,0x60 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,1,14359,,,1,1454402,,0x61 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,2,14361,,,15,1454403,,0x62 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,292,14653,,,592,1454418,,0x63 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,80,14733,,,158,1455010,,0x64 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,125,14858,,,256,1455168,,0x65 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,502,15360,,,1004,1455424,,0x66 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,stop,2,iCONT1,task1,Event,,,288,15648,,,580,1456428,,0x67 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
